 python dataset-files-rearrange.py

=== AD -> Alzehiemers: auto-detected start = patient37 ===
    (80 Eyes_closed Pacientes, 80 Eyes_open Pacientes found)
  [ok] Paciente7   (Eyes_closed) -> patient36  (19 channel files)
  [ok] Paciente8   (Eyes_closed) -> patient37  (19 channel files)
  [ok] Paciente9   (Eyes_closed) -> patient38  (19 channel files)
  [ok] Paciente10  (Eyes_closed) -> patient39  (19 channel files)
  [ok] Paciente11  (Eyes_closed) -> patient40  (19 channel files)
  [ok] Paciente12  (Eyes_closed) -> patient41  (19 channel files)
  [ok] Paciente1   (Eyes_open)   -> patient30  (19 channel files)
  [ok] Paciente2   (Eyes_open)   -> patient31  (19 channel files)
  [ok] Paciente3   (Eyes_open)   -> patient32  (19 channel files)
  [ok] Paciente4   (Eyes_open)   -> patient33  (19 channel files)
  [ok] Paciente5   (Eyes_open)   -> patient34  (0 channel files)
  [ok] Paciente6   (Eyes_open)   -> patient35  (19 channel files)
  [ok] Paciente7   (Eyes_open)   -> patient36  (19 channel files)
  [ok] Paciente8   (Eyes_open)   -> patient37  (19 channel files)
  [ok] Paciente9   (Eyes_open)   -> patient38  (19 channel files)
  [ok] Paciente10  (Eyes_open)   -> patient39  (19 channel files)
  [ok] Paciente11  (Eyes_open)   -> patient40  (19 channel files)
  [ok] Paciente12  (Eyes_open)   -> patient41  (19 channel files)

Mapping log written to: DATA/manifest_rearrange.csv
Mode: COPY (EEG_data/ left untouched)
(env) adamk@Kodas-MacBook-Air dataset-processing-codes 
